"artistid","artist"
1541,russell donnellon
1542,kokomo arnold
1544,erroll garner
1545,jil caplan
1546,h.p. lovecraft
1547,arthur lyman
1548,james son thomas
1550,dow jonez
1553,tom shaka
1554,andré rieu
1556,edith piaf
1557,clarence carter
1558,baila copacabana
1560,jojo
1561,msg
1562,salty dog
1565,rocky zharp and the blues crackers
1566,puffy
1567,acoustic blues duo
1568,disney
1569,success
1570,buddy guy
1571,oswaldo montenegro
1572,pet shop boys
1574,cyrus chestnut
1575,nick the nightfly
1577,wavey d
1578,dmbq
1579,ken burns jazz
1580,the towels
1581,mike peterson
1584,didier lockwood
1586,genesis
1587,puff daddy
1589,fabienne
1591,d-shade
1592,james blunt
1593,brown sugar
1594,extreme
1596,northern bright
1597,bluespumpm
1599,snoop dog
1600,black biscuits
1601,graaf
1602,tony toni tone
1603,sean paul
1604,pascal obispo
1605,t.k soul
1606,sur-prise
1607,chage&aska
1608,velvet revolver
1609,shawn colvin
1610,tim mcgraw
1611,him
1612,the who
1613,limp bizkit
1615,mary j. blidge
1616,laputa
1617,opgezwolle
1619,kem
1620,bow wow
1621,five colors
1625,dir en grey
1626,pete bardens with mick fleetwood
1627,mike manzel
1628,wands
1630,sphere of influence
1631,when the cat's away
1632,chocolate
1633,pierre lassale
1634,robert mccreath
1635,donald 'duck' dunn
1637,istanbul eglenceleri
1638,buddhist meditation
1639,bobby moore & the rhythm aces
1640,"blu lu, wee bea & baby dee"
1641,art tatum
1643,julio jaramillo
1644,gipsy swing
1645,benny carter
1646,luiz gonzaga
1652,jason newcomb
1653,sleepy brown
1654,harry beckett feat. courtney pine
1655,the mamas & papas
1658,david miles huber
1663,brian crain
1665,lars luis linek
1667,herb ohta
1671,ska cubano
1674,the royal dixie jazz band
1675,hawaiian
1678,snoop doggy dogg
1681,piano hits
1683,the undisputed truth
1684,earth wind & fire
1687,merengue
1689,mystikal
1690,pacific moon
1692,layzie bone
1693,erinevad esitajad
1694,josefin nilsson
1697,s.h.i..p
1698,giovanni mirabassi - flavio boltro - glenn ferris
1699,the blueskins
1701,macy gray
1702,rub-down
1703,ana christensen
1704,julian lennon
1706,ligajovapelù
1707,party people
1708,flyscreen
1709,tony thompson
1710,samanth fu
1711,x japan
1712,right said fred
1713,total
